,Molecule ChEMBL ID,Standard Value,Smiles,Receptor_class,MW,LogP,NumHAcceptors,NumHDonors,pIC50
689,CHEMBL398172,21.0,Cc1cc(Nc2ncnc3cnc(N(C)C)cc23)ccc1OC1CCN(C(=O)Nc2c(F)cccc2F)CC1,active,533.5830000000002,5.496320000000004,7.0,2.0,7.6777807052660805
690,CHEMBL231302,25.0,CNc1cc2c(Nc3ccc(OC4CCN(C(=O)Nc5c(F)cccc5F)CC4)c(C)c3)ncnc2cn1,active,519.5560000000002,5.472020000000005,7.0,3.0,7.6020599913279625
691,CHEMBL231099,230.0,COCCOc1cc2ncnc(Nc3ccc(OC4CCN(C(=O)Nc5c(F)cccc5F)CC4)c(C)c3)c2cc1OCCOC,active,637.6840000000001,6.085720000000006,9.0,2.0,6.638272163982407
692,CHEMBL389741,110.0,COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(Oc4cccc(C(=O)NCC(C)(C)C)c4)c(C)c3)c2c1,active,565.6740000000003,5.364120000000005,7.0,3.0,6.958607314841775
693,CHEMBL210659,5400.0,O=NN(CCCl)C(=O)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,intermediate,405.24500000000006,4.780900000000003,6.0,2.0,5.267606240177032
694,CHEMBL3957055,176.7,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)nn1)NO,active,483.9350000000002,4.880300000000004,8.0,3.0,6.752763450493236
695,CHEMBL3902161,100.0,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(OCCCCCC(=O)NO)cc3)cc12)c1ccccc1,active,459.5500000000001,5.242600000000004,6.0,4.0,7.0
696,CHEMBL196548,1400.0,CCOCc1cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2c1CC,intermediate,426.5240000000002,4.969800000000005,7.0,1.0,5.853871964321762
697,CHEMBL193681,5800.0,CCc1c(C(=O)NCCCn2ccnc2)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,intermediate,519.6130000000002,4.449900000000003,9.0,2.0,5.236572006437063
698,CHEMBL179652,15.0,CCOc1cc2ncc(C#N)c(Nc3ccc4c(ccn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,active,544.6590000000001,6.308080000000007,7.0,2.0,7.823908740944319
699,CHEMBL360958,25.0,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,active,596.1309999999999,7.461780000000005,7.0,2.0,7.6020599913279625
700,CHEMBL202425,597.0,CCN(CC)CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,active,426.88300000000015,3.8446000000000016,6.0,2.0,6.224025668870631
701,CHEMBL202621,300.0,O=C(C#CCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,active,439.8780000000001,3.4400000000000004,6.0,2.0,6.522878745280337
702,CHEMBL204638,0.5,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,active,499.3440000000001,3.334200000000001,7.0,2.0,9.301029995663981
703,CHEMBL383499,36.0,CC(C)N(CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)C(C)C,active,454.9370000000001,4.621600000000003,6.0,2.0,7.443697499232712
704,CHEMBL939,343.0,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,active,446.9100000000004,4.275600000000003,7.0,1.0,6.464705879957229
705,CHEMBL2048907,2.2,CC(C)(O)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21.CS(=O)(=O)O,active,619.1250000000003,4.621400000000003,11.0,4.0,8.657577319177793
706,CHEMBL3290148,7.0,C=CC(=O)NCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,active,617.5880000000002,5.292720000000003,7.0,5.0,8.154901959985743
707,CHEMBL604671,8460.0,O=C1CSC(N/N=C/c2ccc([N+](=O)[O-])cc2)=N1,intermediate,264.266,1.1477,6.0,1.0,5.0726296369609765
708,CHEMBL591052,50000.0,O=C1CSC(NN=C2CCC2)=N1,inactive,183.23599999999996,0.7453000000000001,4.0,1.0,4.301029995663981
709,CHEMBL592426,3450.0,O=C(Nc1ccccc1)N(Cc1ccc(F)cc1)Cc1cccc(Cl)c1O,intermediate,384.8380000000001,5.419000000000003,2.0,2.0,5.462180904926726
710,CHEMBL3828021,590.0,C#Cc1cccc(Nc2ncnc3ccc(-c4cnn(C)c4)cc23)c1,active,325.37500000000006,3.755200000000002,5.0,1.0,6.229147988357855
711,CHEMBL604094,43.5,O=C(CCCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)NO,active,432.88300000000015,5.000600000000004,6.0,3.0,7.361510743045363
712,CHEMBL598407,556.9,COc1cc2ncnc(N[C@@H](C)c3ccc(Cl)cc3)c2cc1OCCCCCCC(=O)NO,active,472.9730000000004,5.299600000000003,7.0,3.0,6.254222782110241
713,CHEMBL1087421,10000.0,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,inactive,340.6370000000001,5.048900000000002,2.0,0.0,5.0
714,CHEMBL1201179,124.0,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.O,active,943.4940000000003,7.797840000000008,12.0,4.0,6.906578314837765
715,CHEMBL3651966,10000.0,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1,inactive,440.46900000000016,5.044100000000004,4.0,2.0,5.0
716,CHEMBL3910297,1000.0,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CNCC(=O)NO)cc3)cc12)c1ccccc1,active,416.48500000000007,3.3930000000000016,6.0,5.0,6.0
717,CHEMBL3961102,100.0,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(NC(=O)CCC(=O)NO)cc3)cc12)c1ccccc1,active,444.4950000000001,4.022100000000002,6.0,5.0,7.0
718,CHEMBL305194,49300.0,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,inactive,413.7960000000001,3.8401200000000006,5.0,4.0,4.30715308072277
719,CHEMBL3747281,4070.0,CC(=O)N1N=C(c2ccc(F)cc2)CC1c1ccc(C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,intermediate,479.46800000000025,3.793420000000003,8.0,0.0,5.39040559077478
